id,name,value,created_at,updated_at,role_id,stat_type,notice
1,MAX HP,1706672,2020-06-16 11:19:18.554707,2020-06-16 11:19:18.554707,1,base,
2,ATK,19792,2020-06-16 11:19:28.625843,2020-06-16 11:19:28.625843,1,base,
3,P.DEF,8792,2020-06-16 11:19:35.601024,2020-06-16 11:19:35.601024,1,base,
4,M.DEF,6840,2020-06-16 11:19:41.31834,2020-06-16 11:19:41.31834,1,base,
5,Crit,50,2020-06-07 10:07:45.205586,2020-06-07 10:07:45.205586,1,class,1
6,Crit DMG,0,2020-07-21 15:11:51.05560,2020-07-21 15:11:56.919623,1,class,2
7,Penetration,0,2020-07-21 15:11:51.05565,2020-07-21 15:11:56.919628,1,class,3
8,ACC,0,2020-07-21 15:11:51.05568,2020-07-21 15:11:56.919631,1,class,4
9,P.Dodge,0,2020-07-21 15:11:51.05569,2020-07-21 15:11:56.919632,1,class,5
10,M.Dodge,0,2020-07-21 15:11:51.05570,2020-07-21 15:11:56.919633,1,class,6
11,P.Block,100,2020-06-07 10:09:43.237435,2020-06-07 10:09:43.237435,1,class,7
12,M.Block,100,2020-06-07 10:09:47.26713,2020-06-07 10:09:47.26713,1,class,8
13,P.Block DEF,0,2020-07-21 15:11:51.05588,2020-07-21 15:11:56.919651,1,class,9
14,M.Block DEF,0,2020-07-21 15:11:51.05589,2020-07-21 15:11:56.919652,1,class,10
15,P.Tough,250,2020-06-07 10:10:01.224998,2020-06-07 10:10:01.224998,1,class,11
16,M.Tough,250,2020-06-07 10:10:04.298619,2020-06-07 10:10:04.298619,1,class,12
17,Recovery,0,2020-07-21 15:11:51.05526,2020-07-21 15:11:56.919589,1,class,13
18,CC Resist,0,2020-07-21 15:11:51.05547,2020-07-21 15:11:56.919610,1,class,14
19,Debuff ACC,0,2020-07-21 15:11:51.05533,2020-07-21 15:11:56.919596,1,class,15
20,Lifesteal,0,2020-07-21 15:11:51.05540,2020-07-21 15:11:56.919603,1,class,16
21,ATK Spd,1000,2020-07-21 15:11:51.05553,2020-07-21 15:11:56.919616,1,class,17
22,MP Recovery/Attack,0,2020-07-21 15:11:51.05560,2020-07-21 15:11:56.919623,1,class,18
23,P.Crit Resistance,0,2020-07-21 15:11:51.05560,2020-07-21 15:11:56.919623,1,class,19
24,M.Crit Resistance,0,2020-07-21 15:11:51.05561,2020-07-21 15:11:56.919624,1,class,20
25,MAX HP,1449520,2020-06-16 11:19:51.546089,2020-06-16 11:19:51.546089,2,base,
26,ATK,22488,2020-07-31 18:10:26.861765,2020-07-31 18:10:26.861765,2,base,
27,P.DEF,7328,2020-06-16 11:20:02.34629,2020-06-16 11:20:02.34629,2,base,
28,M.DEF,8792,2020-06-16 11:20:09.701088,2020-06-16 11:20:09.701088,2,base,
29,Crit,150,2020-06-07 10:13:27.42496,2020-06-07 10:13:27.42496,2,class,1
30,Crit DMG,0,2020-07-21 15:11:51.05561,2020-07-21 15:11:56.919624,2,class,2
31,Penetration,150,2020-06-07 10:13:34.325552,2020-06-07 10:13:34.325552,2,class,3
32,ACC,100,2020-06-07 10:13:40.176515,2020-06-07 10:13:40.176515,2,class,4
33,P.Dodge,100,2020-06-07 10:13:47.368522,2020-06-07 10:13:47.368522,2,class,5
34,M.Dodge,100,2020-06-07 10:13:50.969412,2020-06-07 10:13:50.969412,2,class,6
35,P.Block,0,2020-07-21 15:11:51.05578,2020-07-21 15:11:56.919641,2,class,7
36,M.Block,0,2020-07-21 15:11:51.05579,2020-07-21 15:11:56.919642,2,class,8
37,P.Block DEF,0,2020-07-21 15:11:51.05590,2020-07-21 15:11:56.919653,2,class,9
38,M.Block DEF,0,2020-07-21 15:11:51.05591,2020-07-21 15:11:56.919654,2,class,10
39,P.Tough,0,2020-07-21 15:11:51.05601,2020-07-21 15:11:56.919664,2,class,11
40,M.Tough,0,2020-07-21 15:11:51.05602,2020-07-21 15:11:56.919665,2,class,12
41,Recovery,0,2020-07-21 15:11:51.05527,2020-07-21 15:11:56.919590,2,class,13
42,CC Resist,150,2020-06-07 10:14:00.383327,2020-06-07 10:14:00.383327,2,class,14
43,Debuff ACC,0,2020-07-21 15:11:51.05534,2020-07-21 15:11:56.919597,2,class,15
44,Lifesteal,0,2020-07-21 15:11:51.05541,2020-07-21 15:11:56.919604,2,class,16
45,ATK Spd,1000,2020-07-21 15:11:51.05554,2020-07-21 15:11:56.919617,2,class,17
46,MP Recovery/Attack,0,2020-07-21 15:11:51.05561,2020-07-21 15:11:56.919624,2,class,18
47,P.Crit Resistance,0,2020-07-21 15:11:51.05562,2020-07-21 15:11:56.919625,2,class,19
48,M.Crit Resistance,0,2020-07-21 15:11:51.05563,2020-07-21 15:11:56.919626,2,class,20
49,MAX HP,1384992,2020-06-16 11:20:24.022658,2020-06-16 11:20:24.022658,3,base,
50,ATK,24688,2020-06-16 11:20:30.503281,2020-06-16 11:20:30.503281,3,base,
51,P.DEF,7816,2020-06-16 11:20:36.736973,2020-06-16 11:20:36.736973,3,base,
52,M.DEF,6840,2020-06-16 11:20:42.062887,2020-06-16 11:20:42.062887,3,base,
53,Crit,200,2020-06-07 10:14:09.632804,2020-06-07 10:14:09.632804,3,class,1
54,Crit DMG,30,2020-06-07 10:14:15.233518,2020-06-07 10:14:15.233518,3,class,2
55,Penetration,0,2020-07-21 15:11:51.05566,2020-07-21 15:11:56.919629,3,class,3
56,ACC,100,2020-06-07 10:14:20.79461,2020-06-07 10:14:20.79461,3,class,4
57,P.Dodge,200,2020-06-07 10:14:27.570486,2020-06-07 10:14:27.570486,3,class,5
58,M.Dodge,200,2020-06-07 10:14:30.539704,2020-06-07 10:14:30.539704,3,class,6
59,P.Block,0,2020-07-21 15:11:51.05580,2020-07-21 15:11:56.919643,3,class,7
60,M.Block,0,2020-07-21 15:11:51.05581,2020-07-21 15:11:56.919644,3,class,8
61,P.Block DEF,0,2020-07-21 15:11:51.05592,2020-07-21 15:11:56.919655,3,class,9
62,P.DEF,9148,2020-07-21 14:42:11.447104,2020-07-21 14:42:11.447104,NULL,gear,
63,M.DEF,9148,2020-07-21 14:45:21.244157,2020-07-21 14:45:21.244157,NULL,gear,
64,P.DEF,6099,2020-07-21 14:45:36.096558,2020-07-21 14:45:36.096558,NULL,gear,
65,M.DEF,3052,2020-07-21 14:46:02.832139,2020-07-21 14:46:02.832139,NULL,gear,
66,P.DEF,3052,2020-07-21 14:46:17.007864,2020-07-21 14:46:17.007864,NULL,gear,
67,M.DEF,6099,2020-07-21 14:46:32.68278,2020-07-21 14:46:32.68278,NULL,gear,
68,HP,407302,2020-07-21 14:47:02.570773,2020-07-21 14:47:02.570773,NULL,gear,
69,ATK,8860,2020-07-21 14:47:19.763967,2020-07-21 14:47:19.763967,NULL,gear,
70,M.DEF,6377,2020-07-21 14:47:38.743914,2020-07-21 14:47:38.743914,NULL,gear,
71,P.DEF,6377,2020-07-21 14:47:54.066342,2020-07-21 14:47:54.066342,NULL,gear,
72,HP,442512,2020-07-21 14:48:09.595237,2020-07-21 14:48:09.595237,NULL,gear,
73,P.DEF,13625,2020-07-21 14:48:32.291481,2020-07-21 14:48:32.291481,NULL,gear,
74,M.DEF,13625,2020-07-21 14:48:39.18595,2020-07-21 14:48:39.18595,NULL,gear,
75,P.DEF,9091,2020-07-21 14:49:01.6004,2020-07-21 14:49:01.6004,NULL,gear,
76,M.DEF,4547,2020-07-21 14:49:15.916756,2020-07-21 14:49:15.916756,NULL,gear,
77,P.DEF,4547,2020-07-21 14:49:29.38033,2020-07-21 14:49:29.38033,NULL,gear,
